Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable,visit
RandomForest,no,0.6891965244050455,0,median,3.301624703087886,validation,17.186186565320668,0.6887919532062604,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6755728871571626,0,median,3.3578917488573485,generalization,17.741269311522736,0.6755221838182397,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6870303774796904,1,median,3.3267762024100382,validation,17.43608039831239,0.6859014161446624,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6747070559891074,1,median,3.3465201712464507,generalization,17.791043257240126,0.674611846405198,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6332255460201353,2,median,3.648361983328981,validation,21.235852856083934,0.631240958652898,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6747727910357316,2,median,3.3522626987286466,generalization,17.78904545021613,0.6746483851696413,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6814149856848246,3,median,3.28953126527538,validation,17.449248992930894,0.6785672581481043,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6744802216335795,3,median,3.358668301730092,generalization,17.798568062745424,0.6744742219537182,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6941988642953729,4,median,3.549929060914674,validation,18.874791569035022,0.6914909552763112,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6761839173623052,4,median,3.347912180154589,generalization,17.71436548153146,0.6760142397049527,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6740952152334228,5,median,3.454736342042755,validation,17.906529406175775,0.6728863441867177,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6722719715899179,5,median,3.365270146740438,generalization,17.923767613182584,0.6721843927425466,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6685177286987156,6,median,3.6549548693586695,validation,20.25621229453682,0.6684842540816747,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6740838395996065,6,median,3.3567851816213614,generalization,17.822607953812852,0.6740345458957184,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6417214809786682,7,median,3.4491496437054634,validation,19.110114318289785,0.6409367805938762,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6713682988725088,7,median,3.3640048111618968,generalization,17.97280475727688,0.6712875310159072,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6298696703916421,8,median,3.478147268408552,validation,19.232148712589073,0.6295248808962894,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6717782646842994,8,median,3.3619716141448164,generalization,17.947121154678854,0.6717572696313554,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.7019117096494081,9,median,3.1006080760095007,validation,15.586236389548693,0.7018608148653867,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6753668497519959,9,median,3.3555910512388745,generalization,17.752176327159003,0.6753227006497824,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6640621040279711,10,median,3.486362700592491,validation,19.291077909000307,0.6635236270971037,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6722663563123781,10,median,3.3642911426729767,generalization,17.920941911347462,0.6722360732364585,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6458875561236668,11,median,3.6075629453681706,validation,19.80442785748218,0.6425383049568254,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6729178109351075,11,median,3.3611171517921585,generalization,17.88376110079384,0.6729160893052338,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6735907388896955,12,median,3.382717339667458,validation,18.06195409026128,0.6726915545335015,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6742841365167431,12,median,3.3557132547510227,generalization,17.81015713639644,0.6742622643286001,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.69412258303104,13,median,3.4432262203384862,validation,18.353637214093077,0.6934988926762663,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6716648034539272,13,median,3.3675027014800123,generalization,17.95584044500763,0.6715977987257027,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6384706732921611,14,median,3.6395439429928738,validation,20.46711760570071,0.6370254043774929,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6735181997765793,14,median,3.358326677892711,generalization,17.854228318498922,0.673456227247822,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6551332275777358,15,median,3.4125358935927035,validation,18.536148811448378,0.6511807199370431,Age,"EL, EDU, LS, MH",third
