Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable,visit
RandomForest,no,0.6722742949168955,0,median,3.3951955661124313,validation,18.10734259924634,0.6721116286315965,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6169082107987933,0,median,3.6447020225384423,generalization,20.949585176884852,0.6168438949464363,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6573760858678015,1,median,3.4393254204795025,validation,19.09314245670936,0.6560506220434105,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6117255301204112,1,median,3.682483352568292,generalization,21.24983922590891,0.6113524176222189,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.5821003482059047,2,median,3.8800600819814504,validation,24.20090112313806,0.5797531110059636,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6106577893282035,2,median,3.6763164699625737,generalization,21.306397005894986,0.6103180077039809,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.5960680547229245,3,median,3.707326259471384,validation,21.980913322990112,0.595089436761437,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6126180283682157,3,median,3.6674270830183566,generalization,21.183022543615362,0.6125744570814272,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6448331726097049,4,median,3.727961995249406,validation,21.756828123515444,0.6443839797619341,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6128816512569164,4,median,3.661385614625933,generalization,21.18178897859033,0.6125970182904599,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.5886508847237806,5,median,3.7519797221745614,validation,22.52150404855104,0.5885807150773539,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6113523232012479,5,median,3.6761059662721487,generalization,21.260583683979828,0.6111559075400095,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.5993561656672666,6,median,3.970238936640528,validation,24.48910821792513,0.5992081412017172,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6134086378074036,6,median,3.672303918157701,generalization,21.153284592596453,0.6131183474443377,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.5696625695054447,7,median,3.813020104475465,validation,22.92269737656848,0.5693015028368718,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.6149301656473709,7,median,3.6549049919161294,generalization,21.06517800735556,0.6147297672288077,Age,"EL, EDU, LS, MH",third
RandomForest,no,0.5792827945652603,8,median,3.6730261282660335,validation,21.929327049881234,0.5775682596843198,Age,"EL, EDU, LS, MH",third
