Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
RandomForest,no,0.6793555319979971,0,median,3.000816486281655,validation,14.682842328474527,0.6792645535950614,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6723493293938462,0,median,3.1945920627606874,generalization,16.201723983400232,0.6723350788608204,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6395699729170341,1,median,3.3700821073066844,validation,17.198918521258086,0.6386385437034616,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6691785058337174,1,median,3.1984764128653884,generalization,16.35980566900798,0.6691380226030246,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6331506005550303,2,median,3.2306183867528637,validation,16.778960082574784,0.6330927749209148,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6726357188277663,2,median,3.1903203553515045,generalization,16.187325345946206,0.6726262780202876,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6868806522967891,3,median,3.3511920199501253,validation,16.22620971571072,0.6868806025258453,Age,"EL, EDU, LS, MH"
RandomForest,no,0.66881312622205,3,median,3.2138053892215566,generalization,16.376017848303395,0.6688101462328451,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6799177623565302,4,median,3.2169775561097254,validation,15.532982104738153,0.6792523484856774,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6741591909945996,4,median,3.188214570858284,generalization,16.113924339321358,0.6741107456653301,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6943625969004021,5,median,3.1533468065403656,validation,15.134560352625533,0.6937460609461228,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6692278433883764,5,median,3.2052478100702837,generalization,16.35537943210295,0.6692275391611338,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6600154698123117,6,median,3.384141270929035,validation,17.11795055904679,0.6581282805529295,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6684194674988271,6,median,3.208084615635084,generalization,16.395745798149115,0.6684111666466567,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6736496786901245,7,median,3.2615760598503742,validation,15.907234593516211,0.6722262391986731,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6722853421610777,7,median,3.1898323353293407,generalization,16.205258083832337,0.6722636049398618,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6802640881223985,8,median,3.23048379052369,validation,16.128038862842892,0.6802640169111839,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6727062562131862,8,median,3.188331337325349,generalization,16.183549213572856,0.6727026468139785,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6127446445143991,9,median,3.3967685958203546,validation,18.093505375998078,0.6123948029882023,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6703716014803625,9,median,3.1991267053695074,generalization,16.300337483068756,0.6703407118030152,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6807641332198439,10,median,3.1985763725988363,validation,15.594676484510346,0.6806191817803292,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6716563398348082,10,median,3.1940421040683566,generalization,16.235797895702422,0.6716459654183966,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6555612467601541,11,median,3.3160997506234415,validation,17.104925246882793,0.653666517670192,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6718618138556407,11,median,3.1894101796407184,generalization,16.22526207185629,0.6718590427361695,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6930397909087112,12,median,2.9990053800016576,validation,14.889071890606045,0.6929943995406616,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6741817268633049,12,median,3.1783104955296486,generalization,16.110529004893568,0.6741794131718659,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6513131694714231,13,median,3.3050349825890475,validation,17.295165807799066,0.6512574863297245,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6688763976519736,13,median,3.2077906831746925,generalization,16.373513876140617,0.6688607867598713,Age,"EL, EDU, LS, MH"
RandomForest,no,0.7071085716481429,14,median,3.1304143888823406,validation,15.016663999396119,0.7030119518964999,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6730321601527067,14,median,3.1909452654455914,generalization,16.167801806273523,0.6730211235992989,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6838855315914548,15,median,3.065233895303284,validation,15.16138262779986,0.683764202543614,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6745340141167856,15,median,3.1844905749482137,generalization,16.094433377078854,0.6745049323958694,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6653989618069438,16,median,3.3239002493765586,validation,17.059592817955114,0.6642057109128019,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6762923482798932,16,median,3.1723383233532934,generalization,16.006095141716568,0.6762914917122245,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6417818574200866,17,median,3.327406851611601,validation,17.534695057797713,0.6417196942352925,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6715365706044343,17,median,3.1948005554964034,generalization,16.241359967819776,0.6715334776409496,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6556980884595116,18,median,3.161777748849409,validation,15.848872809902227,0.6544099269139032,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6723283427717601,18,median,3.1915578060955307,generalization,16.202078177365536,0.6723279156146234,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6777474094785947,19,median,3.217993782470811,validation,15.750809175251552,0.6776055198518918,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6715380609298418,19,median,3.1926832214397685,generalization,16.24213502870359,0.6715178027495842,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6500301827902026,20,median,3.2575335738845155,validation,16.877511086640652,0.6493041753350892,Age,"EL, EDU, LS, MH"
RandomForest,no,0.670790939452683,20,median,3.198319991486988,generalization,16.279014822700287,0.670771942938373,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6315486925442839,21,median,3.1906234413965087,validation,16.305823042394017,0.631525350053304,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6740790209438813,21,median,3.182937125748503,generalization,16.11582710179641,0.6740722640496101,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6645905870321477,22,median,3.2725808752941696,validation,16.241991998287308,0.6644407790361361,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6726732324789274,22,median,3.1883045561445496,generalization,16.185868234963678,0.6726557467456942,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6612689761608994,23,median,3.2584636275445487,validation,16.818641027570767,0.6610823622157271,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6708902420929088,23,median,3.201630860552621,generalization,16.274488438495244,0.6708634848832369,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6742553236752923,24,median,3.299986271670284,validation,16.46322695587179,0.6733566356983938,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6715655987526499,24,median,3.20251020226929,generalization,16.239774182869773,0.671565548678644,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6882840120042822,25,median,3.2892602552965298,validation,16.82607085327675,0.6874594667734455,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6688381225908948,25,median,3.206713384177826,generalization,16.374675875099218,0.6688372864029015,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6931228489565802,26,median,3.2381956401633296,validation,15.194915551169634,0.6893596767850968,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6740028401658487,26,median,3.1883805072960154,generalization,16.125113165732998,0.6738844619730782,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6135271162396191,27,median,3.5065709876356186,validation,19.84697101336416,0.6109601682638719,Age,"EL, EDU, LS, MH"
RandomForest,no,0.67165429974905,27,median,3.194994627381489,generalization,16.237587835575233,0.6716097655357255,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6852409864850716,28,median,3.286014962593516,validation,16.119774364089775,0.6851421012797287,Age,"EL, EDU, LS, MH"
RandomForest,no,0.673708976292013,28,median,3.1934540918163674,generalization,16.134210319361273,0.6737004804332585,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6334609938241145,29,median,3.4940441904221613,validation,19.19952839935252,0.6312469119940494,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6688973762974186,29,median,3.203066940500493,generalization,16.37629810723291,0.6688044782545404,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6630491536474588,30,median,3.2574463840399,validation,16.516900189526186,0.6630466028042932,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6693490262897519,30,median,3.2130828343313373,generalization,16.349670646706585,0.6693429940793028,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6519962290478617,31,median,3.1869226932668333,validation,15.869733865336654,0.6516403264920101,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6720385540149902,31,median,3.189224550898204,generalization,16.216463173652695,0.6720369923351719,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6621794045096661,32,median,3.3883087008400583,validation,18.100000283328626,0.6620695699915815,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6720961975483835,32,median,3.1913044859242503,generalization,16.214646787261298,0.6720737270742839,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6627165065810436,33,median,3.254093463492299,validation,16.280636036855366,0.6627165038623055,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6707562818695889,33,median,3.1963053524836864,generalization,16.280621316854475,0.6707394530761284,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6524167442888457,34,median,3.266071539360868,validation,16.54924356088533,0.6524073049760417,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6742814057903527,34,median,3.175278215249968,generalization,16.105665052850533,0.6742777821148401,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6828210351668699,35,median,3.2663144129321307,validation,16.294304468087283,0.6826969059553263,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6691185485099802,35,median,3.214586431444625,generalization,16.362415623420922,0.6690852386827596,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6756727365734128,36,median,3.232810113035523,validation,16.620362537424594,0.6755156079370465,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6706336395456485,36,median,3.2034674772535827,generalization,16.287857300799807,0.6705931119761788,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6826149649732651,37,median,3.3112966989572463,validation,16.954127844077462,0.6826047222925349,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6749337790265488,37,median,3.1780705092520467,generalization,16.07335938342389,0.6749311344763465,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6879887722640481,38,median,3.137845712225803,validation,15.407488294649264,0.6879042661429466,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6740336202165864,38,median,3.188008047603652,generalization,16.118817687323574,0.6740117822162,Age,"EL, EDU, LS, MH"
