,Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
0,RandomForest,no,0.039166934649535134,0,median,5.607589064108237,validation,44.18491743671296,0.034814315825875464,Age,Early Life (EL)
1,RandomForest,no,0.025405513750487385,0,median,5.860675423194852,generalization,48.19855155140542,0.025228759032377424,Age,Early Life (EL)
2,RandomForest,no,0.036451069159815434,1,median,5.7084164357140255,validation,46.04191832038762,0.03262669484845615,Age,Early Life (EL)
3,RandomForest,no,0.02313097804422481,1,median,5.868968031533936,generalization,48.31094542610881,0.02295569660217278,Age,Early Life (EL)
4,RandomForest,no,0.028204113808825593,2,median,5.5989779289087425,validation,44.55336364115148,0.02574707007671684,Age,Early Life (EL)
5,RandomForest,no,0.025430722334724317,2,median,5.872973701956532,generalization,48.19631992026555,0.025273891713455288,Age,Early Life (EL)
6,RandomForest,no,0.040370711219481666,3,median,5.9182887470330225,validation,49.8477099830669,0.0380818941190012,Age,Early Life (EL)
7,RandomForest,no,0.024934681506231904,3,median,5.860562320370683,generalization,48.24509402629332,0.024287480414163957,Age,Early Life (EL)
8,RandomForest,no,0.05679466114919385,4,median,5.613029603426557,validation,45.71931981906189,0.0559208552539866,Age,Early Life (EL)
9,RandomForest,no,0.024786715443543272,4,median,5.863619089860597,generalization,48.238240149074315,0.024426093758075033,Age,Early Life (EL)
10,RandomForest,no,0.006151616716506103,5,median,5.929729396749778,validation,49.62617975840824,-0.004205783128132579,Age,Early Life (EL)
11,RandomForest,no,0.023663341684520004,5,median,5.859933315410018,generalization,48.31534558727236,0.02286670740187946,Age,Early Life (EL)
12,RandomForest,no,0.033318445585698964,6,median,5.843357276051719,validation,48.52712635361475,0.030838880559347807,Age,Early Life (EL)
13,RandomForest,no,0.026312709030885676,6,median,5.868055668175666,generalization,48.17829569817783,0.02563841497746233,Age,Early Life (EL)
14,RandomForest,no,0.06001531639277824,7,median,5.759844728142251,validation,45.71837350343761,0.057957991827851225,Age,Early Life (EL)
15,RandomForest,no,0.024261370848037037,7,median,5.866125965986678,generalization,48.26486714241032,0.023887587381806186,Age,Early Life (EL)
16,RandomForest,no,0.05605580787302122,8,median,5.827060288218265,validation,47.6470573750985,0.05540414053597098,Age,Early Life (EL)
17,RandomForest,no,0.025446302872446425,8,median,5.857792144471064,generalization,48.21727938257939,0.024850005923695014,Age,Early Life (EL)
18,RandomForest,no,0.02761715811248988,9,median,5.594452831277696,validation,45.40001562132989,0.02742549696379315,Age,Early Life (EL)
19,RandomForest,no,0.025539418838054884,9,median,5.859890504023948,generalization,48.209249184847316,0.02501240926480264,Age,Early Life (EL)
20,RandomForest,no,0.021074509986850343,10,median,5.9111728655569244,validation,47.81840763711424,0.02067335784280389,Age,Early Life (EL)
21,RandomForest,no,0.025448349532921192,10,median,5.855476333028412,generalization,48.21302512061404,0.024936044447299462,Age,Early Life (EL)
22,RandomForest,no,0.05300096107817165,11,median,5.771442060575684,validation,46.854819625724105,0.051302907747618136,Age,Early Life (EL)
23,RandomForest,no,0.02369849760108977,11,median,5.87752338936121,generalization,48.2968546929835,0.023240668680639454,Age,Early Life (EL)
24,RandomForest,no,0.041176082619091565,12,median,5.726792540618111,validation,46.734621398279884,0.03635427311817796,Age,Early Life (EL)
25,RandomForest,no,0.02642300711157608,12,median,5.854171007770722,generalization,48.18570961037864,0.025488475442688285,Age,Early Life (EL)
26,RandomForest,no,0.050211172685337147,13,median,5.814254982236871,validation,47.311053125552384,0.04601229183053712,Age,Early Life (EL)
27,RandomForest,no,0.02474114920982684,13,median,5.8695792618424605,generalization,48.25204111751518,0.0241469819030371,Age,Early Life (EL)
28,RandomForest,no,0.029990885707075088,14,median,5.960923552292633,validation,49.177283088079044,0.027409462184864064,Age,Early Life (EL)
29,RandomForest,no,0.02347060565666148,14,median,5.871716059260334,generalization,48.31180726488275,0.022938266708033558,Age,Early Life (EL)
30,RandomForest,no,0.020935558502125477,15,median,5.816075410738847,validation,47.20043282837175,0.015494372630791562,Age,Early Life (EL)
31,RandomForest,no,0.02550871559821244,15,median,5.878346526811828,generalization,48.19018351644157,0.02539799481983596,Age,Early Life (EL)
32,RandomForest,no,0.03290363573251432,16,median,5.935381275573205,validation,49.29775415186321,0.029642472380847606,Age,Early Life (EL)
33,RandomForest,no,0.024765670677372342,16,median,5.8580560119748055,generalization,48.25289319320882,0.0241297494581908,Age,Early Life (EL)
34,RandomForest,no,0.03322493425796147,17,median,5.753771254495339,validation,47.34040260107996,0.032710072058160115,Age,Early Life (EL)
35,RandomForest,no,0.023832813388240504,17,median,5.864724678092372,generalization,48.28159927936641,0.02354919534761102,Age,Early Life (EL)
36,RandomForest,no,0.035853387793148735,18,median,5.576524604458814,validation,44.483495381155386,0.030022222760624717,Age,Early Life (EL)
37,RandomForest,no,0.02417207843473801,18,median,5.859571494411626,generalization,48.288494868693846,0.02340973841478744,Age,Early Life (EL)
38,RandomForest,no,0.05748209507811275,19,median,5.807892830808879,validation,46.392125961955,0.05042558981855183,Age,Early Life (EL)
39,RandomForest,no,0.02470541319175568,19,median,5.867505253568951,generalization,48.2336876816874,0.02451816321123024,Age,Early Life (EL)
40,RandomForest,no,0.0263959513953036,20,median,5.76029821807043,validation,47.065171495502824,0.02203831797949518,Age,Early Life (EL)
41,RandomForest,no,0.0238014729884628,20,median,5.860949303002824,generalization,48.307552195522696,0.02302432156045131,Age,Early Life (EL)
42,RandomForest,no,-0.01576438352133569,21,median,5.611029812403995,validation,45.17977196688756,-0.020960464055560516,Age,Early Life (EL)
43,RandomForest,no,0.02158049018060626,21,median,5.871082217978675,generalization,48.392183712121536,0.021312727211562518,Age,Early Life (EL)
44,RandomForest,no,0.023107815073935445,22,median,5.756568739085227,validation,47.29557886709085,0.02287431237809323,Age,Early Life (EL)
45,RandomForest,no,0.024925274257435626,22,median,5.860333222169594,generalization,48.23675793758231,0.024456070118130224,Age,Early Life (EL)
46,RandomForest,no,0.009192221602898676,23,median,5.9219793189370336,validation,49.16926658132068,0.00917489980263031,Age,Early Life (EL)
47,RandomForest,no,0.02390938461569869,23,median,5.870348267570209,generalization,48.28153546945117,0.023550485844280992,Age,Early Life (EL)
48,RandomForest,no,0.05914958106237389,24,median,5.806602650757401,validation,47.44772073740994,0.05859992262434521,Age,Early Life (EL)
49,RandomForest,no,0.02611093523371077,24,median,5.872974392370567,generalization,48.17558854505476,0.02569316465197169,Age,Early Life (EL)
50,RandomForest,no,0.04684291570866495,25,median,6.159281001197617,validation,51.4158173882104,0.04496259864132102,Age,Early Life (EL)
51,RandomForest,no,0.026089024304230213,25,median,5.872327237779486,generalization,48.18221804470114,0.02555908913747407,Age,Early Life (EL)
52,RandomForest,no,0.05691506249441591,26,median,5.765911653082976,validation,46.27827270896739,0.05390079044996898,Age,Early Life (EL)
53,RandomForest,no,0.024522844086176887,26,median,5.866322114683241,generalization,48.24122241626235,0.02436578015540025,Age,Early Life (EL)
54,RandomForest,no,0.04453103757819354,27,median,5.940490341270658,validation,48.802973342824096,0.04336533142863908,Age,Early Life (EL)
55,RandomForest,no,0.021728451604763777,27,median,5.887332194858539,generalization,48.38410173555775,0.021476177731774567,Age,Early Life (EL)
56,RandomForest,no,0.05580566327097336,28,median,5.802886283634279,validation,48.473327124975796,0.05319953134393585,Age,Early Life (EL)
57,RandomForest,no,0.024869012932265955,28,median,5.860763901464218,generalization,48.2485987339672,0.024216600934625188,Age,Early Life (EL)
58,RandomForest,no,0.021134576093312485,29,median,6.016812884309672,validation,50.99226981834361,0.020624019047208897,Age,Early Life (EL)
59,RandomForest,no,0.024080885530337826,29,median,5.864254338404126,generalization,48.275239898336295,0.02367780796228458,Age,Early Life (EL)
60,RandomForest,no,-0.03650518133667946,30,median,5.99892036929114,validation,50.85225782990321,-0.037412640037840506,Age,Early Life (EL)
61,RandomForest,no,0.023684004361303912,30,median,5.861486886538571,generalization,48.291921967779075,0.023340428497358068,Age,Early Life (EL)
62,RandomForest,no,0.06860648954134319,31,median,5.443728768594537,validation,42.46359535231231,0.06787320200639635,Age,Early Life (EL)
63,RandomForest,no,0.02347853099997954,31,median,5.866991988958001,generalization,48.30115554487198,0.023153687918819776,Age,Early Life (EL)
64,RandomForest,no,0.062049239093988524,32,median,5.973052546441712,validation,50.241998132660456,0.06197238852585463,Age,Early Life (EL)
65,RandomForest,no,0.0246075027419147,32,median,5.861786092884188,generalization,48.24978383486139,0.02419263336232036,Age,Early Life (EL)
66,RandomForest,no,0.019473120927564813,33,median,5.787224572807771,validation,47.35152162495368,0.019025624984806755,Age,Early Life (EL)
67,RandomForest,no,0.023197084409342872,33,median,5.879142618564375,generalization,48.312057647259856,0.02293320295543988,Age,Early Life (EL)
68,RandomForest,no,0.024662635833516574,34,median,5.792145587990119,validation,46.437888805932225,0.024639956388836426,Age,Early Life (EL)
69,RandomForest,no,0.021548423365125302,34,median,5.881241904900242,generalization,48.397961288547926,0.02119588105827241,Age,Early Life (EL)
70,RandomForest,no,0.0291191855644225,35,median,5.977814962516472,validation,49.93463464501334,0.027610285306458367,Age,Early Life (EL)
71,RandomForest,no,0.023900370445391058,35,median,5.8637686741083215,generalization,48.29310265376897,0.02331655021241985,Age,Early Life (EL)
72,RandomForest,no,0.04194011452923985,36,median,5.934901742458867,validation,49.07544011555427,0.04188525880464677,Age,Early Life (EL)
73,RandomForest,no,0.02386045008301996,36,median,5.864257408334812,generalization,48.296484196271656,0.023248161634845776,Age,Early Life (EL)
74,RandomForest,no,0.07112780778494776,37,median,5.957062352726878,validation,49.65089841646144,0.07049416895703331,Age,Early Life (EL)
75,RandomForest,no,0.025601298143862472,37,median,5.860366179298308,generalization,48.20999395991026,0.024997346876225013,Age,Early Life (EL)
76,RandomForest,no,0.021941613353777645,38,median,5.827002001396277,validation,48.33902124384856,0.02083960600704582,Age,Early Life (EL)
77,RandomForest,no,0.02690798611581602,38,median,5.8518933925135,generalization,48.13165798215093,0.026581619759849958,Age,Early Life (EL)
78,RandomForest,no,0.0517079503590896,39,median,5.567961985145703,validation,44.613935205491295,0.049480842987866036,Age,Early Life (EL)
79,RandomForest,no,0.02504992128919004,39,median,5.875318776922959,generalization,48.231989876687,0.024552499751103185,Age,Early Life (EL)
80,RandomForest,no,0.011967940425687608,40,median,6.139441031629758,validation,52.38998846270482,0.010466877110608008,Age,Early Life (EL)
81,RandomForest,no,0.025834277496192715,40,median,5.852527514168498,generalization,48.197401080978686,0.025252026235425332,Age,Early Life (EL)
82,RandomForest,no,0.03333310409223456,41,median,5.981899791505575,validation,49.923991419836156,0.03265990683294728,Age,Early Life (EL)
83,RandomForest,no,0.024228609457625727,41,median,5.874749961931187,generalization,48.2712441548137,0.02375861818887326,Age,Early Life (EL)
84,RandomForest,no,0.05838761252154789,42,median,5.831908146818267,validation,47.89459701720625,0.056826865286744625,Age,Early Life (EL)
85,RandomForest,no,0.02517803402791696,42,median,5.8619851916092625,generalization,48.23061953684279,0.024580213610285617,Age,Early Life (EL)
86,RandomForest,no,0.05132170491108001,43,median,5.93426330284531,validation,48.64503172790823,0.04256259782805594,Age,Early Life (EL)
87,RandomForest,no,0.02638294016490772,43,median,5.855404001019013,generalization,48.18686127109254,0.025465184167180244,Age,Early Life (EL)
88,RandomForest,no,0.038773935775080925,44,median,5.476162230058472,validation,42.939162705804684,0.03635078972096484,Age,Early Life (EL)
89,RandomForest,no,0.025113366720521,44,median,5.859951882037983,generalization,48.23862838067219,0.024418242132159932,Age,Early Life (EL)
90,RandomForest,no,0.022894556691128054,45,median,5.810954272776344,validation,47.91012105250309,0.019211527153299213,Age,Early Life (EL)
