target,t_obs,t_perm,p_val,CI_low,CI_hi
Neuroticism,0.590247701117266,0.500065568845243,1e-04,0.566042617810208,0.614391644579935
Age,0.916361115105249,0.500100784603034,1e-04,0.905354764696262,0.927240149407056
Fluid intelligence,0.666987489382024,0.50008534685062,1e-04,0.643465869338227,0.690216141762528
