mean,std,target,learning_type,train_sizes
0.8872910324694274,0.056053235525461854,Age,train,100
0.8655346878630091,0.08549567911649134,Age,train,500
0.8842909761479955,0.06679277474443875,Age,train,1000
0.8853881021547266,0.05157119447536003,Age,train,1500
0.9074215970505171,0.05523908168889461,Age,train,2000
0.9149376636163169,0.05374225835155412,Age,train,2500
0.9251878901868686,0.04499732701692157,Age,train,3000
0.9390793437726568,0.01694418740112323,Age,train,3500
,,,,3700
0.6653874249437479,0.19611615473709446,Fluid intelligence,train,100
0.5620238621778717,0.19221673671359818,Fluid intelligence,train,500
0.46527515296595207,0.2126801234076667,Fluid intelligence,train,1000
0.484735366424336,0.22037520966239652,Fluid intelligence,train,1500
0.4810244840064819,0.22149324105461898,Fluid intelligence,train,2000
0.4614720284171532,0.16731310661142976,Fluid intelligence,train,2500
0.45166597833580113,0.132398863967427,Fluid intelligence,train,3000
0.4733134678621619,0.09427482297928877,Fluid intelligence,train,3500
0.47743970689933524,0.0646866657530118,Fluid intelligence,train,3700
0.8208545777641396,0.0954403208000853,Neuroticism,train,100
0.7391130210522175,0.13581600986068032,Neuroticism,train,500
0.6982929869241109,0.15004615290359288,Neuroticism,train,1000
0.6984315427726568,0.15486829305438682,Neuroticism,train,1500
0.7312416420719905,0.13333988901952235,Neuroticism,train,2000
0.6993021002678367,0.11067994842469316,Neuroticism,train,2500
0.6939657147896725,0.08296244237845563,Neuroticism,train,3000
0.70453190580257,0.08293807704554494,Neuroticism,train,3195
0.46784590405186227,0.04727390459998508,Age,validation,100
0.5634220625821577,0.03451855211722541,Age,validation,500
0.587566132626533,0.03072785213921183,Age,validation,1000
0.5992977910118009,0.029977888548270736,Age,validation,1500
0.6053901464457262,0.029676619340353178,Age,validation,2000
0.6107561190085283,0.02929003006031393,Age,validation,2500
0.6144062057265647,0.03110800685290314,Age,validation,3000
0.6177687386856201,0.029704403054268157,Age,validation,3500
,,,,3700
0.02524773750027452,0.04426795219361267,Fluid intelligence,validation,100
0.11726452737332972,0.03088303796312926,Fluid intelligence,validation,500
0.13649903267857016,0.028080141677298113,Fluid intelligence,validation,1000
0.14483850547594385,0.028190370508121416,Fluid intelligence,validation,1500
0.15219723932386228,0.029716073893827043,Fluid intelligence,validation,2000
0.15743698385239543,0.029639018134330206,Fluid intelligence,validation,2500
0.16033761068455352,0.028970591820154445,Fluid intelligence,validation,3000
0.16505972548161377,0.029985433989619305,Fluid intelligence,validation,3500
0.16684549015808744,0.03003680651209713,Fluid intelligence,validation,3700
0.1980202811914305,0.05573967074803789,Neuroticism,validation,100
0.28180079463559915,0.043632923997191056,Neuroticism,validation,500
0.3010557487079725,0.0419002518683214,Neuroticism,validation,1000
0.3056829741488943,0.04365377695939972,Neuroticism,validation,1500
0.31212978740348124,0.044194304998784184,Neuroticism,validation,2000
0.31754395396394636,0.04465408231194438,Neuroticism,validation,2500
0.3216552972734272,0.045204720810713486,Neuroticism,validation,3000
0.32303742759188453,0.04405639650291967,Neuroticism,validation,3195
