Estimator,Permuted,Type,fold,group,model_testing,roc,target
RandomForest,no,Non-imaging,33,low vs high,validation,0.7542592592592593,Neuroticism
RandomForest,no,Non-imaging,33,low vs high,generalization,0.7759274802753064,Neuroticism
RandomForest,no,Non-imaging,34,low vs high,validation,0.7333333333333333,Neuroticism
RandomForest,no,Non-imaging,34,low vs high,generalization,0.7710844384757428,Neuroticism
RandomForest,no,Non-imaging,35,low vs high,validation,0.7844062153163152,Neuroticism
RandomForest,no,Non-imaging,35,low vs high,generalization,0.7681970790666443,Neuroticism
RandomForest,no,Non-imaging,36,low vs high,validation,0.7884615384615384,Neuroticism
RandomForest,no,Non-imaging,36,low vs high,generalization,0.766749668923582,Neuroticism
RandomForest,no,Non-imaging,37,low vs high,validation,0.8025046382189238,Neuroticism
RandomForest,no,Non-imaging,37,low vs high,generalization,0.7691669930800366,Neuroticism
RandomForest,no,Non-imaging,38,low vs high,validation,0.7496994914470644,Neuroticism
RandomForest,no,Non-imaging,38,low vs high,generalization,0.7643454013019231,Neuroticism
RandomForest,no,Non-imaging,39,low vs high,validation,0.7357836338418863,Neuroticism
RandomForest,no,Non-imaging,39,low vs high,generalization,0.7691711898233637,Neuroticism
RandomForest,no,Non-imaging,40,low vs high,validation,0.7629776996391228,Neuroticism
RandomForest,no,Non-imaging,40,low vs high,generalization,0.7710965624009103,Neuroticism
RandomForest,no,Non-imaging,41,low vs high,validation,0.7891538101916784,Neuroticism
RandomForest,no,Non-imaging,41,low vs high,generalization,0.7730363904276948,Neuroticism
RandomForest,no,Non-imaging,42,low vs high,validation,0.7789395762006107,Neuroticism
RandomForest,no,Non-imaging,42,low vs high,generalization,0.7667557308861656,Neuroticism
RandomForest,no,Non-imaging,43,low vs high,validation,0.74047354790973,Neuroticism
RandomForest,no,Non-imaging,43,low vs high,generalization,0.7696444892097065,Neuroticism
RandomForest,no,Non-imaging,44,low vs high,validation,0.778648749533408,Neuroticism
RandomForest,no,Non-imaging,44,low vs high,generalization,0.7715768563594649,Neuroticism
RandomForest,no,Non-imaging,45,low vs high,validation,0.7821015304217992,Neuroticism
RandomForest,no,Non-imaging,45,low vs high,generalization,0.7802739074478204,Neuroticism
RandomForest,no,Non-imaging,46,low vs high,validation,0.7929582677893957,Neuroticism
RandomForest,no,Non-imaging,46,low vs high,generalization,0.7720683416335591,Neuroticism
