Estimator,Permuted,Type,fold,group,model_testing,roc,target
RandomForest,no,Imaging,38,middle vs high,validation,0.6383703703703704,Age
RandomForest,no,Imaging,38,middle vs high,generalization,0.6720772224973907,Age
RandomForest,no,Imaging,39,middle vs high,validation,0.6185478146232634,Age
RandomForest,no,Imaging,39,middle vs high,generalization,0.6720401447292204,Age
RandomForest,no,Imaging,40,middle vs high,validation,0.6794442754284555,Age
RandomForest,no,Imaging,40,middle vs high,generalization,0.6905069720195771,Age
RandomForest,no,Imaging,41,middle vs high,validation,0.6721435793731041,Age
RandomForest,no,Imaging,41,middle vs high,generalization,0.6848977353179034,Age
RandomForest,no,Imaging,42,middle vs high,validation,0.7151835093011564,Age
RandomForest,no,Imaging,42,middle vs high,generalization,0.6732406249212971,Age
RandomForest,no,Imaging,43,middle vs high,validation,0.6879450406177915,Age
RandomForest,no,Imaging,43,middle vs high,generalization,0.6730818201406437,Age
RandomForest,no,Imaging,44,middle vs high,validation,0.6328972720819389,Age
RandomForest,no,Imaging,44,middle vs high,generalization,0.6835321541203895,Age
RandomForest,no,Imaging,45,middle vs high,validation,0.6929271708683474,Age
RandomForest,no,Imaging,45,middle vs high,generalization,0.6768476621417798,Age
RandomForest,no,Imaging,46,middle vs high,validation,0.6798499138018457,Age
RandomForest,no,Imaging,46,middle vs high,generalization,0.6805848213411239,Age
RandomForest,no,Imaging,47,middle vs high,validation,0.6895101065418701,Age
RandomForest,no,Imaging,47,middle vs high,generalization,0.6894806873798471,Age
RandomForest,no,Imaging,48,middle vs high,validation,0.6890243902439024,Age
RandomForest,no,Imaging,48,middle vs high,generalization,0.6785105650651868,Age
RandomForest,no,Imaging,49,middle vs high,validation,0.7052345679012346,Age
RandomForest,no,Imaging,49,middle vs high,generalization,0.6782132433392938,Age
RandomForest,no,Imaging,50,middle vs high,validation,0.6758608747278844,Age
RandomForest,no,Imaging,50,middle vs high,generalization,0.6840841231597533,Age
RandomForest,no,Imaging,51,middle vs high,validation,0.6528063978019821,Age
RandomForest,no,Imaging,51,middle vs high,generalization,0.6786301933360758,Age
RandomForest,no,Imaging,52,middle vs high,validation,0.6580191050779287,Age
RandomForest,no,Imaging,52,middle vs high,generalization,0.6703996283828215,Age
RandomForest,no,Imaging,53,middle vs high,validation,0.6463414634146342,Age
RandomForest,no,Imaging,53,middle vs high,generalization,0.6730090637653663,Age
RandomForest,no,Imaging,54,middle vs high,validation,0.7245934959349593,Age
RandomForest,no,Imaging,54,middle vs high,generalization,0.6757891967976002,Age
RandomForest,no,Imaging,55,middle vs high,validation,0.6797796399751707,Age
RandomForest,no,Imaging,55,middle vs high,generalization,0.6741213968104725,Age
RandomForest,no,Imaging,56,middle vs high,validation,0.6703709155136885,Age
RandomForest,no,Imaging,56,middle vs high,generalization,0.6783265753853989,Age
RandomForest,no,Imaging,57,middle vs high,validation,0.7242125984251968,Age
RandomForest,no,Imaging,57,middle vs high,generalization,0.6818559591668835,Age
RandomForest,no,Imaging,58,middle vs high,validation,0.6730788423153693,Age
RandomForest,no,Imaging,58,middle vs high,generalization,0.6785980126316261,Age
RandomForest,no,Imaging,59,middle vs high,validation,0.6665668662674651,Age
RandomForest,no,Imaging,59,middle vs high,generalization,0.6771666708641499,Age
RandomForest,no,Imaging,60,middle vs high,validation,0.6977745693517874,Age
RandomForest,no,Imaging,60,middle vs high,generalization,0.6754044275052677,Age
RandomForest,no,Imaging,61,middle vs high,validation,0.6926656920077974,Age
RandomForest,no,Imaging,61,middle vs high,generalization,0.6781355899002957,Age
RandomForest,no,Imaging,62,middle vs high,validation,0.6990617283950618,Age
RandomForest,no,Imaging,62,middle vs high,generalization,0.6841904594005435,Age
RandomForest,no,Imaging,63,middle vs high,validation,0.7397156684815488,Age
RandomForest,no,Imaging,63,middle vs high,generalization,0.6882788080267072,Age
RandomForest,no,Imaging,64,middle vs high,validation,0.7158755896226415,Age
RandomForest,no,Imaging,64,middle vs high,generalization,0.6823505626026635,Age
RandomForest,no,Imaging,65,middle vs high,validation,0.6980723636738481,Age
RandomForest,no,Imaging,65,middle vs high,generalization,0.6823673525354197,Age
RandomForest,no,Imaging,66,middle vs high,validation,0.6673055859802848,Age
RandomForest,no,Imaging,66,middle vs high,generalization,0.6735323500029382,Age
RandomForest,no,Imaging,67,middle vs high,validation,0.6690613026819923,Age
RandomForest,no,Imaging,67,middle vs high,generalization,0.6843744490803315,Age
RandomForest,no,Imaging,68,middle vs high,validation,0.6680373081937618,Age
RandomForest,no,Imaging,68,middle vs high,generalization,0.6832991938033955,Age
RandomForest,no,Imaging,69,middle vs high,validation,0.6845432098765432,Age
RandomForest,no,Imaging,69,middle vs high,generalization,0.6725060653632082,Age
RandomForest,no,Imaging,70,middle vs high,validation,0.6464497041420119,Age
RandomForest,no,Imaging,70,middle vs high,generalization,0.6780327515621631,Age
RandomForest,no,Imaging,71,middle vs high,validation,0.750480283114257,Age
RandomForest,no,Imaging,71,middle vs high,generalization,0.6804414073321636,Age
RandomForest,no,Imaging,72,middle vs high,validation,0.7064416273584906,Age
RandomForest,no,Imaging,72,middle vs high,generalization,0.6795011710978097,Age
RandomForest,no,Imaging,73,middle vs high,validation,0.6607088530574993,Age
RandomForest,no,Imaging,73,middle vs high,generalization,0.6830459456509876,Age
