target,t_obs,t_perm,p_val,CI_low,CI_hi
Fluid intelligence,0.0612282840696957,-0.0274792125627353,1e-04,0.0515162706168483,0.0701465150384314
Age,0.520716545172892,-0.381688104542853,1e-04,0.502923090735676,0.538376203573104
Neuroticism,0.0148477807496202,-0.0208381239300509,1e-04,0.0049787135344472,0.0241762869022478
